,latitude,longitude,Ones
1198,-7.416589999999999,-36.0306,0.6931471805599453
1324,-7.5510600000000005,-38.5014,1.791759469228055
1349,-6.89831,-37.606,0.6931471805599453
1351,-7.257460000000001,-34.8999,1.0986122886681098
1358,-7.790780000000001,-36.6581,0.6931471805599453
1387,-7.00712,-37.9346,1.0986122886681098
1443,-7.62365,-36.6064,0.6931471805599453
1475,-7.1390199999999995,-35.0857,1.6094379124341003
1490,-6.866860000000001,-36.3619,0.6931471805599453
1492,-6.47647,-36.1515,1.6094379124341003
1493,-6.91292,-35.2502,0.6931471805599453
1494,-6.89058,-35.5215,0.6931471805599453
1513,-6.72325,-35.2639,0.6931471805599453
1516,-7.53075,-38.1962,0.6931471805599453
1527,-6.63161,-35.9101,0.6931471805599453
1547,-7.287000000000001,-37.0925,1.0986122886681098
1552,-7.4173800000000005,-38.2615,1.3862943611198906
1610,-6.615660000000001,-35.6205,0.6931471805599453
1633,-6.684989999999999,-35.418,1.0986122886681098
1654,-7.099639999999999,-37.7163,0.6931471805599453
1694,-7.02278,-35.8597,1.0986122886681098
1735,-7.344539999999999,-35.7931,1.0986122886681098
1861,-6.39759,-36.4526,0.6931471805599453
1874,-7.582789999999999,-35.7899,0.6931471805599453
2000,-6.850639999999999,-35.485,2.4849066497880004
2047,-7.1233,-35.4222,0.6931471805599453
2048,-7.24833,-36.4923,0.6931471805599453
2093,-7.47957,-38.4059,1.3862943611198906
2141,-7.1718399999999995,-38.1478,0.6931471805599453
2175,-7.3889,-37.5079,1.3862943611198906
2202,-7.281439999999999,-35.605,1.3862943611198906
2283,-7.33167,-35.3317,1.791759469228055
2392,-7.30202,-38.1504,1.9459101490553132
2394,-6.823739999999999,-35.2406,1.0986122886681098
2419,-7.38115,-35.638000000000005,0.6931471805599453
2471,-6.61453,-35.289,1.0986122886681098
2572,-6.54577,-37.8036,0.6931471805599453
2595,-7.1150899999999995,-34.8641,4.700480365792417
2603,-6.483619999999999,-38.4764,0.6931471805599453
2619,-7.1713,-35.5686,0.6931471805599453
2622,-7.060919999999999,-36.5793,1.0986122886681098
2637,-6.99269,-36.7166,0.6931471805599453
2652,-7.36176,-35.2321,1.0986122886681098
2653,-7.5298300000000005,-37.815,1.0986122886681098
2680,-6.585719999999999,-37.9127,1.0986122886681098
2687,-6.67213,-35.3706,1.0986122886681098
2712,-7.15535,-35.8491,0.6931471805599453
2748,-6.50603,-38.1742,0.6931471805599453
2787,-7.37113,-36.9491,0.6931471805599453
2792,-6.611910000000001,-35.4384,0.6931471805599453
2802,-6.90258,-34.8748,0.6931471805599453
2852,-7.25201,-37.4322,0.6931471805599453
2875,-6.897189999999999,-37.5221,0.6931471805599453
2876,-6.8337,-35.1213,2.1972245773362196
2882,-7.703310000000001,-38.1523,1.0986122886681098
2935,-6.76535,-35.0087,1.791759469228055
2948,-7.059419999999999,-35.318000000000005,1.3862943611198906
2972,-6.82748,-38.3528,0.6931471805599453
2989,-7.18995,-35.7848,1.0986122886681098
2997,-6.59673,-35.0531,0.6931471805599453
3008,-7.124860000000001,-35.7669,1.0986122886681098
3012,-6.54018,-37.7279,0.6931471805599453
3024,-7.261880000000001,-37.351,0.6931471805599453
3108,-7.28517,-35.4832,0.6931471805599453
3127,-7.088480000000001,-35.9592,0.6931471805599453
3153,-7.20402,-38.5838,0.6931471805599453
3160,-7.88363,-37.1184,1.6094379124341003
3210,-7.02525,-35.46,1.6094379124341003
3245,-7.63514,-35.5586,1.0986122886681098
3254,-6.9114,-38.321999999999996,1.0986122886681098
3323,-6.45056,-36.2057,1.0986122886681098
3355,-7.47232,-38.0382,1.0986122886681098
3360,-6.67122,-36.422,0.6931471805599453
3435,-7.22118,-37.7406,1.0986122886681098
3448,-6.9843399999999995,-36.241,0.6931471805599453
3486,-7.616039999999999,-37.1519,0.6931471805599453
3603,-7.30975,-36.6522,0.6931471805599453
3633,-7.13467,-37.0433,0.6931471805599453
3647,-7.01743,-37.2747,2.5649493574615367
3667,-6.59138,-37.6185,1.0986122886681098
3690,-7.421689999999999,-38.0689,1.0986122886681098
3697,-6.749969999999999,-36.4758,1.0986122886681098
3705,-7.39107,-35.1065,1.0986122886681098
3725,-6.63323,-35.2966,0.6931471805599453
3768,-7.192819999999999,-37.9289,1.3862943611198906
3774,-6.50845,-36.3497,1.3862943611198906
3782,-7.26403,-35.2523,1.3862943611198906
3787,-6.86827,-35.613,1.0986122886681098
3788,-6.84277,-35.531,0.6931471805599453
3863,-6.77922,-35.4906,1.0986122886681098
3868,-7.4664,-34.8151,1.0986122886681098
3888,-7.06658,-36.0668,0.6931471805599453
3890,-6.39876,-38.4909,0.6931471805599453
3893,-6.564010000000001,-38.5111,0.6931471805599453
3903,-6.76606,-37.8003,2.1972245773362196
4006,-7.6882600000000005,-37.0801,1.0986122886681098
4044,-7.73175,-37.9886,1.791759469228055
4055,-7.154789999999999,-35.9543,1.3862943611198906
4070,-7.350289999999999,-35.9031,1.3862943611198906
4089,-7.0224,-37.1458,0.6931471805599453
4125,-6.94992,-35.8011,1.0986122886681098
