nada,latitude,longitude,GRE
720,-7.487,-36.1309,2
720,-7.487,-36.1309,2
720,-7.487,-36.1309,2
728,-6.801989999999999,-35.6187,1
771,-6.34185,-37.4943,7
771,-6.34185,-37.4943,7
773,-6.37065,-37.8253,7
817,-7.513510000000001,-34.9055,0
817,-7.513510000000001,-34.9055,0
820,-7.488989999999999,-36.287,2
820,-7.488989999999999,-36.287,2
825,-6.987310000000001,-34.8284,0
825,-6.987310000000001,-34.8284,0
825,-6.987310000000001,-34.8284,0
825,-6.987310000000001,-34.8284,0
825,-6.987310000000001,-34.8284,0
825,-6.987310000000001,-34.8284,0
825,-6.987310000000001,-34.8284,0
825,-6.987310000000001,-34.8284,0
825,-6.987310000000001,-34.8284,0
848,-6.913530000000001,-38.676,8
858,-7.1212800000000005,-37.1563,5
859,-6.6386,-35.7778,1
859,-6.6386,-35.7778,1
859,-6.6386,-35.7778,1
860,-7.207210000000001,-37.0604,5
884,-6.62115,-35.4581,1
884,-6.62115,-35.4581,1
895,-6.880039999999999,-38.5577,8
895,-6.880039999999999,-38.5577,8
895,-6.880039999999999,-38.5577,8
895,-6.880039999999999,-38.5577,8
895,-6.880039999999999,-38.5577,8
895,-6.880039999999999,-38.5577,8
895,-6.880039999999999,-38.5577,8
895,-6.880039999999999,-38.5577,8
895,-6.880039999999999,-38.5577,8
895,-6.880039999999999,-38.5577,8
895,-6.880039999999999,-38.5577,8
895,-6.880039999999999,-38.5577,8
897,-6.960160000000001,-37.8009,12
906,-7.1025,-35.3272,11
906,-7.1025,-35.3272,11
917,-7.88503,-36.8242,4
946,-7.22196,-35.8731,2
946,-7.22196,-35.8731,2
946,-7.22196,-35.8731,2
946,-7.22196,-35.8731,2
946,-7.22196,-35.8731,2
946,-7.22196,-35.8731,2
946,-7.22196,-35.8731,2
946,-7.22196,-35.8731,2
946,-7.22196,-35.8731,2
946,-7.22196,-35.8731,2
946,-7.22196,-35.8731,2
